"entity","name","description","dataType","idAttribute","nillable"
"records","uid","pubmed idenitifer","string",TRUE,FALSE
"records","sortpubdate","year of publication","int",FALSE,TRUE
"records","fulljournalname","journal title","string",FALSE,TRUE
"records","volume","publication volume","int",FALSE,TRUE
"records","title","article title","text",FALSE,TRUE
"records","authors","all authors collapsed","text",FALSE,TRUE
"records","doi_url","doi url for html href","hyperlink",FALSE,TRUE
"records","doi_label","url link label","string",FALSE,TRUE
"records","html_order","int for html purposes only","int",FALSE,TRUE
